step,equity
0,100000
1,100000
2,100000
3,100000
4,100000
5,100000
6,100000
7,100000
8,100000
9,100000
10,100000
11,100000
12,100000
13,100000
14,100000
15,100000
16,100000
17,100000
18,100000
19,100000
20,100000
21,100000
22,100000
23,100000
24,100000
25,100000
26,100000
27,100000
28,100000
29,100000
30,100000
31,100000
32,100000
33,100000
34,100000
35,100000
36,100000
37,100000
38,100000
39,100000
40,100000
41,100000
42,100000
43,100000
44,100000
45,100000
46,100000
47,100000
48,100000
49,100000
50,100000
51,100000
52,100000
53,100000
54,100000
55,100000
56,100000
57,100000
58,100000
59,100000
60,100000
61,100000
62,100000
63,100000
64,100000
65,100000
66,100000
67,100000
68,100000
69,100000
70,100000
71,100000
72,100000
73,100000
74,100000
75,100000
76,100000
77,100000
78,100000
79,100000
80,100000
81,100000
82,100000
83,100000
84,100000
85,100000
86,100000
87,100000
88,100000
89,100000
90,100000
91,100000
92,100000
93,100000
94,100000
95,100000
96,100000
97,100000
98,100000
99,100000
100,100000
101,100000
102,100000
103,100000
104,100000
105,100000
106,100000
107,100000
108,100000
109,100000
110,100000
111,100000
112,100000
113,100000
114,100000
115,100000
116,100000
117,100000
118,100000
119,100000
120,100000
121,100000
122,100000
123,100000
124,100000
125,100000
126,100000
127,100000
128,100000
129,100000
130,100000
131,100000
132,100000
133,100000
134,100000
135,100000
136,100000
137,100000
138,100000
139,99978.960278045
140,100041.915278045
141,100112.175278045
142,100283.882778045
143,100273.34527804499
144,100030.7318388235
145,100009.342508445
146,99795.26622674952
147,99795.26622674952
148,99771.53324703389
149,99882.10551756072
150,99566.70946461511
151,99566.70946461511
152,99543.25116485775
153,100122.33431608422
154,100182.61708173434
155,101861.19915249651
156,101861.19915249651
157,101837.609143687
158,101643.29088606802
159,101643.29088606802
160,101617.20322943991
161,101428.27812150047
162,101428.27812150047
163,101428.27812150047
164,101428.27812150047
165,101402.54345814593
166,101146.85093511343
167,101120.68131923188
168,101886.67933452471
169,102436.90705350254
170,101215.82108968317
171,101191.56204773267
172,101505.22954773267
173,101584.51554894866
174,101584.51554894866
175,101584.51554894866
176,101584.51554894866
177,101584.51554894866
178,101584.51554894866
179,101584.51554894866
180,101584.51554894866
181,101584.51554894866
182,101584.51554894866
183,101584.51554894866
184,101584.51554894866
185,101584.51554894866
186,101556.69476744387
187,102876.2717847781
188,102876.00592656461
189,102370.97736984454
190,102370.97736984454
191,102343.14084932556
192,102125.12461800626
193,102125.12461800626
194,102125.12461800626
195,102125.12461800626
196,102125.12461800626
197,102125.12461800626
198,102125.12461800626
199,102125.12461800626
200,102125.12461800626
201,102101.39998428675
202,102281.80248428676
203,102596.60748428675
204,102479.88616676876
205,102452.6734077219
206,102520.07350724547
207,102811.95810205016
208,102442.34284970025
209,102442.34284970025
210,102410.33604152517
211,102652.13419992663
212,102097.87234299467
213,102066.4462361044
214,102379.70549224374
215,102042.50626603155
216,102042.50626603155
217,102009.17800734813
218,103588.96031092889
219,104104.92261090704
220,104068.48925685148
221,104620.1496564567
222,104863.98131737644
223,104136.02955575968
224,104100.29083072538
225,104298.32740445872
226,103844.44422951748
227,103844.44422951748
228,103844.44422951748
229,103844.44422951748
230,103805.55414021912
231,103329.40239632677
232,103329.40239632677
233,103329.40239632677
234,103290.30620652587
235,103801.44427331992
236,103801.44427331992
237,103801.44427331992
238,103745.59570269588
239,102601.36737503164
240,102601.36737503164
241,102601.36737503164
242,102601.36737503164
243,102601.36737503164
244,102601.36737503164
245,102552.95361967194
246,103715.5781145308
247,103277.6327783554
248,103277.6327783554
249,103233.32717428755
250,102938.6484349015
251,102894.36454709119
252,104226.43347206272
253,102144.90621623344
254,102144.90621623344
255,102144.90621623344
256,102144.90621623344
257,102144.90621623344
258,102144.90621623344
259,102144.90621623344
260,102144.90621623344
261,102144.90621623344
262,102144.90621623344
263,102144.90621623344
264,102144.90621623344
265,102144.90621623344
266,102144.90621623344
267,102144.90621623344
268,102144.90621623344
269,102144.90621623344
270,102144.90621623344
271,102144.90621623344
272,102144.90621623344
273,102144.90621623344
274,102144.90621623344
275,102144.90621623344
276,102144.90621623344
277,102144.90621623344
278,102144.90621623344
279,102144.90621623344
280,102110.79547665262
281,102628.07622301394
282,102816.24510206054
283,102770.47528196772
284,102518.4953836124
285,102476.67307480985
